,AsOfDt,MDM_SEC_ID,AnalyticTypeID,FVPrice,AccruedInt,YTM,YTC,YTW,CY,Spread,DM,DM_At_Call,DM_At_Worst,Duration,Convexity,TypeWorstYield,Spread_At_Call,Duration_At_Call,Convexity_At_Call,Price_At_Worst,Spread_At_Worst,Spread_Local,Duration_At_Worst,Convexity_At_Worst,Workout_Date_Maturity,Workout_Date_Call,Workout_Date_Worst,Spread_At_Call_Local,Spread_At_Worst_Local,Current_Factor,YTC_Date,YTW_Date,WAL,Years_To_Maturity,ConversionPremium,DM1,DM2,DM3,DM4,DM5,YTP,YTP_Date,YTPM,InvestmentPremium,OAS,EffectiveDuration,EffectiveConvexity,InputValue,InputType,YTM1,YTM2,YTM3,YTM4,YTM5,WorstYieldNum,ZSpread,WAL_To_Call,WAL_To_Worst,IWAL,IWAL_To_Call,IWAL_To_Worst,YTE,InputStockPrice,MaxCalc,InsertDt,UpdateDt,UpdatedBy,OASSpreadDuration,OASSpreadConvexity,AdjustedEffectiveDuration,FA_YTM,FA_YTC,FA_YTW,FA_CY,FA_Spread,FA_DM,FA_Duration,FA_Convexity,FA_HazardRate,FA_Spread_At_Call,FA_Duration_At_Call,FA_Convexity_At_Call,FA_DM_At_Call,FA_Price_At_Worst,FA_Spread_At_Worst,FA_Spread_Local,FA_Duration_At_Worst,FA_Convexity_At_Worst,FA_DM_At_Worst,FA_Workout_Date_Maturity,FA_Workout_Date_Call,FA_Workout_Date_Worst,FA_Spread_At_Call_Local,FA_Spread_At_Worst_Local,FA_Current_Factor,FA_YTC_Date,FA_YTW_Date,FA_WAL,FA_WAL_To_Worst,FA_IWAL,FA_ZSpread_To_Worst,FA_FVPrice,FA_ZSpread,ZSpread1,ZSpread2,ZSpread3,ZSpread4,ZSpread5,FA_ZSpread1,FA_ZSpread2,FA_ZSpread3,FA_ZSpread4,FA_ZSpread5,FA_DM1,FA_DM2,FA_DM3,FA_DM4,FA_DM5,FA_YTM1,FA_YTM2,FA_YTM3,FA_YTM4,FA_YTM5,KRD_3MO,KRD_6MO,KRD_1YR,KRD_2YR,KRD_3YR,KRD_4YR,KRD_5YR,KRD_6YR,KRD_7YR,KRD_8YR,KRD_9YR,KRD_10YR,KRD_15YR,KRD_20YR,KRD_25YR,KRD_30YR,KRD_1MO,ZSpreadDuration,ZSpreadDuration1,ZSpreadDuration2,ZSpreadDuration3,ZSpreadDuration4,ZSpreadDuration5,FA_ZSpreadDuration,FA_ZSpreadDuration1,FA_ZSpreadDuration2,FA_ZSpreadDuration3,FA_ZSpreadDuration4,FA_ZSpreadDuration5,ZSpreadDuration_90Days,DM_90Days,ZSpread_90Days,YTM_90Days,FA_ZSpreadDuration_90Days,FA_DM_90Days,FA_ZSpread_90Days,FA_YTM_90Days,FA_Duration3,FA_WAL3,IsSwap,FirstCouponIndex,FirstCouponMargin,FirstCouponAllInRate,IR_Duration,IR_Duration3
0,1/25/2023,2934,5,99.25,0.943984444,0.08729177,0.08729177,0.087290513,0.085600605,500.66601,398.3317,398.3317,398.319129,0.135922657,0.000517299,1.0,500.66601,0.135922657,0.000517299,100.0,500.693166,500.66601,0.135922698,0.000517299,46310,46310.0,46311.0,500.66601,500.693166,,10/15/2026,10/16/2026,3.775,3.720739,,398.3317,398.3317,398.3317,398.3317,398.3317,,,,,,,,99.25,0,0.08729177,0.08729177,0.08729177,0.08729177,0.08729177,,491.181164,3.775,3.777777778,1.95701096,,,,,,05:54.2,45:14.1,oaktree\svcmdmui,,,,0.079137816,0.079137816,0.079129951,0.085600605,419.126467,316.792157,0.136194358,0.000519369,,419.126467,0.136194358,0.000519369,316.792157,100.0,419.087542,419.126467,0.136194621,0.000519371,316.713506,46310,46310.0,46311.0,419.126467,419.087542,,10/15/2026,10/16/2026,3.775,3.777777778,1.83245407,410.012673,99.25,410.032509,491.181164,491.181164,491.181164,491.181164,491.181164,410.032509,410.032509,410.032509,410.032509,410.032509,316.792157,316.792157,316.792157,316.792157,316.792157,0.079137816,0.079137816,0.079137816,0.079137816,0.079137816,,,,,,,,,,,,,,,,,,3.202441635,3.202441635,3.202441635,3.202441635,3.202441635,3.202441635,3.22193105,3.22193105,3.22193105,3.22193105,3.22193105,3.22193105,3.202441635,0.03983317,0.049118116,0.08729177,3.22193105,0.031679216,0.041003251,0.079137816,0.136194358,3.775,0,0.0474586,0.0375,0.0849586,0.124890628,0.124890628
1,1/25/2023,3411,5,57.8,0.614477778,1.139241534,16.8298168,0.460332497,0.131972318,10932.22601,11179.61534,168085.368,4390.524968,0.131882842,0.00043055,1.0,167852.5072,0.016002701,1.02e-05,100.0,4177.943169,11130.25507,0.151956783,0.000571594,45167,44981.0,45533.0,168105.9215,4343.867129,,2/24/2023,8/29/2024,0.6,0.591375,,11179.61534,11179.61534,11179.61534,11179.61534,11179.61534,,,,,,,,57.8,0,1.139241534,1.139241534,1.139241534,1.139241534,1.139241534,,11117.94972,0.083333333,1.616666667,0.376122449,,,3.8e-09,,,05:54.3,06:51.7,svcMDMUI,,,,1.14464993,16.8298168,0.470999643,0.131972318,10986.30996,11233.6993,0.131744198,0.000429645,,167852.5072,0.016002701,1.02e-05,168085.368,100.0,4284.614626,11184.33903,0.151594237,0.000568869,4497.196425,45167,44981.0,45533.0,168105.9215,4450.538586,,2/24/2023,8/29/2024,0.6,1.616666667,0.383387528,4406.371726,57.8,11172.03812,11117.94972,11117.94972,11117.94972,11117.94972,11117.94972,11172.03812,11172.03812,11172.03812,11172.03812,11172.03812,11233.6993,11233.6993,11233.6993,11233.6993,11233.6993,1.14464993,1.14464993,1.14464993,1.14464993,1.14464993,,,,,,,,,,,,,,,,,,0.459622673,0.459622673,0.459622673,0.459622673,0.459622673,0.459622673,0.459016068,0.459016068,0.459016068,0.459016068,0.459016068,0.459016068,0.142396685,3.025135621,3.021729122,3.046415621,0.142358122,3.027053775,3.023647274,3.048333775,0.131744198,0.6,0,0.02128,0.055,0.07628,0.005222633,0.005222633
2,1/25/2023,3515,5,,0.558739944,,,,,,,,,,,,,,,,,,,,46562,44981.0,,,,,2/24/2023,,4.475,4.410677,,,,,,,,,,,,,,,0,,,,,,,,0.083333333,,2.316911516,,,,,,05:54.4,06:53.6,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,46562,44981.0,,,,,2/24/2023,,4.475,,2.107025279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.044444444,0,0.043101885,0.01375,0.056851885,,
3,1/25/2023,3754,5,,0.822839417,,,,,,,,,,,,,,,,,,,,45744,44980.0,,,,,2/23/2023,,2.202777778,2.171115,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,1.18153753,,,,,,05:54.5,06:53.1,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45744,44980.0,,,,,2/23/2023,,2.202777778,,1.132289832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.202777778,0,0.0472643,0.0425,0.0897643,,
4,1/25/2023,3755,5,,1.178086778,,,,,,,,,,,,,,,,,,,,45282,44981.0,,,,,2/24/2023,,0.919444444,0.906228,,,,,,,,,,,,,,,0,,,,,,,,0.083333333,,0.539246575,,,,,,05:54.6,06:52.6,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45282,44981.0,,,,,2/24/2023,,0.919444444,,0.543231553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.919444444,0,0.0472386,0.0775,0.1247386,,
5,1/25/2023,3759,5,,0.916206667,,,,,,,,,,,,,,,,,,,,45462,44981.0,,,,,2/24/2023,,1.419444444,1.399041,,,,,,,,,,,,,,,0,,,,,,,,0.083333333,,0.780358943,,,,,,05:54.7,06:53.1,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45462,44981.0,,,,,2/24/2023,,1.419444444,,0.802023167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.419444444,0,0.0474586,0.035,0.0824586,,
6,1/25/2023,4080,5,,0.0,,,,,,,,,,,,,,,,,,,,45129,44980.0,,,,,2/23/2023,,0.002777778,0.487337,,,,,,,,,,,,,,,0,,,,,,,,0.002777778,,0.0,,,,,,05:54.9,06:53.3,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45129,44980.0,,,,,2/23/2023,,0.002777778,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002777778,0,0.0473457,0.035,0.0823457,,
7,1/25/2023,4334,5,,0.622406861,,,,,,,,,,,,,,,,,,,,45197,44980.0,,,,,2/23/2023,,0.683333333,0.673511,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,0.42779798,,,,,,05:55.2,06:54.9,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45197,44980.0,,,,,2/23/2023,,0.683333333,,0.433465771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.683333333,0,0.0472643,0.03,0.0772643,,
8,1/25/2023,4436,5,,1.143690278,,,,,,,,,,,,,,,,,,,,45220,44980.0,,,,,2/23/2023,,0.747222222,0.736481,,,,,,,,,,,,,,,0,,,,,,,,0.080555556,,0.421952281,,,,,,05:55.3,06:54.7,svcMDMUI,,,,,,,,,,,,,,,,,,,,,,,45220,44980.0,,,,,2/23/2023,,0.747222222,,0.426695659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.747222222,0,0.0473457,0.035,0.0823457,,
9,1/25/2023,4447,5,100.25,0.750257,0.069824004,0.04474561,0.04474561,0.074838604,234.707163,222.983038,-27.800902,-27.800902,0.147426523,0.000579589,1.0,1.795389,0.082411446,0.000271666,100.0,1.795389,234.707163,0.082411446,0.000271666,45129,44981.0,44981.0,1.795389,1.795389,,2/24/2023,2/24/2023,0.494444444,0.487337,,222.983038,222.983038,222.983038,222.983038,222.983038,,,,,-5.928859,0.083956989,7e-05,100.25,0,0.069824004,0.069824004,0.069824004,0.069824004,0.069824004,,197.251759,0.083333333,0.083333333,0.311370717,,,3.8e-09,,,05:55.4,06:54.6,svcMDMUI,0.083956989,,,0.069989236,0.04474561,0.04474561,0.074838604,236.359488,224.635363,0.147420537,0.000579542,,1.795389,0.082411446,0.000271666,-27.800902,100.0,1.795389,236.359488,0.082411446,0.000271666,-27.800902,45129,44981.0,44981.0,1.795389,1.795389,,2/24/2023,2/24/2023,0.494444444,0.083333333,0.312202668,-5.995625,100.25,198.903179,197.251759,197.251759,197.251759,197.251759,197.251759,198.903179,198.903179,198.903179,198.903179,198.903179,224.635363,224.635363,224.635363,224.635363,224.635363,0.069989236,0.069989236,0.069989236,0.069989236,0.069989236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083956989,0.481702161,0.481702161,0.481702161,0.481702161,0.481702161,0.481702161,0.481703627,0.481703627,0.481703627,0.481703627,0.481703627,0.481703627,0.246028659,0.017335495,0.018289577,0.064861195,0.246051711,0.016952972,0.017907057,0.064478672,0.147420537,0.494444444,0,0.0475257,0.0275,0.0750257,0.148139218,0.148139218
